allocator,target,event_type,disclosed_date,ticker,company,rationale,confidence
Sequoia,Form Energy,funding_round,2026-08-12,GOOGL,Alphabet Inc,"Google has committed to 30 GWh of Form Energy's iron-air long-duration storage capacity for its AI-datacenter power needs; this $750M Series G directly funds the buildout Google is depending on to secure grid capacity for AI compute load.",medium
Sequoia,Form Energy,funding_round,2026-08-12,ETN,Eaton Corporation,"Grid-scale long-duration storage deployments require power management and electrical distribution equipment; Eaton is a leading supplier to utility-scale storage buildouts that stand to grow as Form Energy scales with fresh capital.",low
Sequoia,Form Energy,funding_round,2026-08-12,PWR,Quanta Services,"Quanta is a leading grid interconnection and utility EPC contractor positioned to capture construction/interconnection work as Form Energy's Series G funds deployment of new iron-air storage sites tied to AI-datacenter and utility load growth.",low
Coatue,Form Energy,follow_on,2026-08-12,GOOGL,Alphabet Inc,"Google has committed to 30 GWh of Form Energy's iron-air long-duration storage capacity for its AI-datacenter power needs; this financing round directly funds the buildout Google is depending on to secure grid capacity for AI compute load.",medium
Coatue,Form Energy,follow_on,2026-08-12,ETN,Eaton Corporation,"Grid-scale long-duration storage deployments require power management and electrical distribution equipment; Eaton is a leading supplier to utility-scale storage buildouts that stand to grow as Form Energy scales with fresh capital.",low
Coatue,Form Energy,follow_on,2026-08-12,PWR,Quanta Services,"Quanta is a leading grid interconnection and utility EPC contractor positioned to capture construction/interconnection work as Form Energy's round funds deployment of new iron-air storage sites tied to AI-datacenter and utility load growth.",low
Coatue,Databricks,funding_round,2026-08-13,NVDA,NVIDIA Corporation,"Databricks' AI-agent infrastructure (Lakebase, Genie, Unity Catalog AI Gateway) runs on GPU-accelerated compute; the $5B raise funding further platform scale-up is a direct driver of incremental GPU demand.",high
Coatue,Databricks,funding_round,2026-08-13,MSFT,Microsoft Corporation,"Databricks is deeply co-integrated with Azure (Azure Databricks is a first-party Microsoft offering); the platform scale-up this round funds drives incremental Azure cloud consumption.",high
Coatue,Databricks,funding_round,2026-08-13,AMZN,Amazon.com Inc,"Databricks runs natively on AWS, one of its three core cloud hosting partners; the $7B ARR platform's continued growth funded by this round drives incremental AWS consumption.",medium
Coatue,Databricks,funding_round,2026-08-13,GOOGL,Alphabet Inc,"Databricks also runs on Google Cloud Platform as a hosting partner; the same infra-consumption logic applies as for AWS/Azure, at lower confidence given GCP is typically Databricks' smaller footprint.",medium
