allocator,target,event_type,disclosed_date,ticker,company,rationale,confidence
Amazon,OpenAI Group PBC,follow_on,2026-07-31,NVDA,NVIDIA,OpenAI's equity capital is spent overwhelmingly on accelerator capacity; Amazon's $35bn Series C funds the compute build,medium
Amazon,OpenAI Group PBC,follow_on,2026-07-31,AVGO,Broadcom,Co-designs OpenAI's custom inference accelerator and supplies the Ethernet/scale-up networking for its clusters,medium
Amazon,OpenAI Group PBC,follow_on,2026-07-31,TSM,Taiwan Semiconductor,Sole leading-edge foundry for both the merchant GPUs and the custom OpenAI silicon this capital buys,medium
Amazon,OpenAI Group PBC,follow_on,2026-07-31,MU,Micron,HBM content scales with every accelerator OpenAI's funded capacity adds,low
Amazon,Anthropic,follow_on,2026-07-31,AVGO,Broadcom,Co-designs the Google TPU generation Anthropic trains on; TPU volume is a direct read-through from Anthropic funding,medium
Amazon,Anthropic,follow_on,2026-07-31,TSM,Taiwan Semiconductor,"Fabs the Trainium, TPU and GPU silicon Anthropic's compute is built on",medium
Amazon,Anthropic,follow_on,2026-07-31,MRVL,Marvell Technology,"Custom-silicon and interconnect content in AWS Trainium, the platform Amazon's Anthropic capital is tied to",low
NVIDIA,NAVER Corporation,minority_stake,2026-07-27,035420.KS,NAVER Corporation,Direct public recipient - NVIDIA's $1bn buys ~4.5% via a third-party share allotment,high
NVIDIA,NAVER Corporation,minority_stake,2026-07-27,VRT,Vertiv,Power and thermal systems for scaling the GAK Sejong AI factory from 55MW to 200MW by 2028,medium
NVIDIA,NAVER Corporation,minority_stake,2026-07-27,ETN,Eaton,Electrical distribution gear for the AI-factory capacity expansion,low
NVIDIA,Safe Superintelligence,minority_stake,2026-07-27,TSM,Taiwan Semiconductor,Sole leading-edge foundry for the Vera Rubin platform SSI's order-of-magnitude compute step is built on,high
NVIDIA,Safe Superintelligence,minority_stake,2026-07-27,MU,Micron,HBM supplier for the Vera Rubin accelerators SSI gains access to,medium
NVIDIA,Safe Superintelligence,minority_stake,2026-07-27,VRT,Vertiv,Rack power and liquid cooling required by Vera Rubin-class density,low
NVIDIA,Nebius Group N.V.,minority_stake,2026-07-20,NBIS,Nebius Group,"Direct public target - NVIDIA's 9.3% position, first disclosed on the 13G, repriced the stock ~+19%",high
NVIDIA,Nebius Group N.V.,minority_stake,2026-07-20,VRT,Vertiv,Power/cooling supplier as Nebius builds out the GPU-cloud capacity the NVIDIA capital underwrites,medium
Meta,"Sturgeon County data center (Alberta, Canada)",corporate_investment,2026-07-08,VRT,Vertiv,Power and thermal management for a 1GW AI-optimized campus (headroom to 1.8GW),high
Meta,"Sturgeon County data center (Alberta, Canada)",corporate_investment,2026-07-08,ETN,Eaton,Medium/low-voltage electrical distribution across a 1GW greenfield build,medium
Meta,"Sturgeon County data center (Alberta, Canada)",corporate_investment,2026-07-08,GEV,GE Vernova,Generation and grid equipment to serve 1GW of new Alberta load,medium
Meta,"Sturgeon County data center (Alberta, Canada)",corporate_investment,2026-07-08,PWR,Quanta Services,Electrical and substation construction for a greenfield gigawatt campus,medium
Meta,"Sturgeon County data center (Alberta, Canada)",corporate_investment,2026-07-08,NVDA,NVIDIA,Accelerators that populate Meta's 33rd data center once energized,medium
Meta,Richland Parish / Hyperion data center (Louisiana),follow_on,2026-07-13,VRT,Vertiv,Power/cooling content scales with a ~5x expansion to ~5GW of IT capacity,high
Meta,Richland Parish / Hyperion data center (Louisiana),follow_on,2026-07-13,GEV,GE Vernova,Gas turbines for the dedicated generation Entergy is building to serve Hyperion,medium
Meta,Richland Parish / Hyperion data center (Louisiana),follow_on,2026-07-13,ETR,Entergy,Serving utility for the Hyperion campus - $50bn+ of load growth lands in its rate base,medium
Meta,Richland Parish / Hyperion data center (Louisiana),follow_on,2026-07-13,ETN,Eaton,Electrical distribution across ~10m sq ft of new hyperscale capacity,medium
Meta,Richland Parish / Hyperion data center (Louisiana),follow_on,2026-07-13,PWR,Quanta Services,"Transmission, substation and electrical construction at ~7,500 peak construction jobs of scale",medium
Meta,Richland Parish / Hyperion data center (Louisiana),follow_on,2026-07-13,NVDA,NVIDIA,Accelerators filling 5GW of Meta AI training capacity,medium
Meta,Meta-BlackRock El Paso data center venture,spv,2026-07-28,VRT,Vertiv,Power and thermal systems for the ~1GW El Paso compute campus,high
Meta,Meta-BlackRock El Paso data center venture,spv,2026-07-28,ETN,Eaton,Electrical infrastructure for a ~$14bn 1GW development,medium
Meta,Meta-BlackRock El Paso data center venture,spv,2026-07-28,GEV,GE Vernova,Generation and grid equipment for ~1GW of new Texas load,medium
Meta,Meta-BlackRock El Paso data center venture,spv,2026-07-28,NVDA,NVIDIA,Accelerators that populate the El Paso campus Meta leases back,medium
Meta,Meta-BlackRock El Paso data center venture,spv,2026-07-28,BLK,BlackRock,Takes the 80% interest - Meta's carve-out adds fee-bearing infrastructure AUM to BlackRock/GIP,medium
Alphabet,Proxima Fusion,corporate_investment,2026-07-07,BRKR,Bruker,HTS superconducting wire and magnet metrology feed the stellarator magnet supply chain the Alpha demonstrator needs,low
Alphabet,Proxima Fusion,corporate_investment,2026-07-07,LIN,Linde,Cryogenic systems and industrial gases required to operate a superconducting stellarator,low
Microsoft,Mistral AI,corporate_investment,2026-07-21,NVDA,NVIDIA,Explicitly named - the multibillion commitment funds thousands of Vera Rubin chips for Mistral in Europe,high
Microsoft,Mistral AI,corporate_investment,2026-07-21,TSM,Taiwan Semiconductor,Foundry for the Vera Rubin silicon the commitment buys,medium
Microsoft,Mistral AI,corporate_investment,2026-07-21,VRT,Vertiv,Power/cooling for Mistral's European footprint targeting 200MW by 2027 and 1GW by 2030,medium
Microsoft,Mistral AI,corporate_investment,2026-07-21,SBGSY,Schneider Electric,European-incumbent electrical and prefab datacenter infrastructure for a 200MW-to-1GW EU build,low
NVIDIA,Volta Infra Holdings,corporate_investment,2026-08-04,BTDR,Bitdeer Technologies,Named delivery site - Volta's first capacity runs through Bitdeer's 133MW Norway facility,high
NVIDIA,Volta Infra Holdings,corporate_investment,2026-08-04,DELL,Dell Technologies,Server/rack supplier to the venture; Michael Dell invested alongside NVIDIA in the same round,high
NVIDIA,Volta Infra Holdings,corporate_investment,2026-08-04,VRT,Vertiv,"Power and cooling for the Norway, Texas and Wyoming GPU capacity Volta is financing",medium
Sequoia,Valar Atomics,funding_round,2026-08-03,LEU,Centrus Energy,Only US-licensed HALEU enricher - fuel supply is the binding constraint on factory-built microreactors,low
Sequoia,Valar Atomics,funding_round,2026-08-03,BWXT,BWX Technologies,US nuclear component fabrication and fuel capability that a mass-production reactor programme must draw on,low
Sequoia,Etched,funding_round,2026-07-23,TSM,Taiwan Semiconductor,Fabs the Sohu transformer-only inference ASIC the $300m scales into production,high
Sequoia,Etched,funding_round,2026-07-23,MU,Micron,"HBM content per Sohu rack; SK Hynix co-invested as the memory partner, confirming HBM-heavy design",medium
Sequoia,Etched,funding_round,2026-07-23,VRT,Vertiv,Etched ships full racks with cooling/interconnect - thermal supply chain benefits from the production ramp,low
Andreessen Horowitz,Etched,funding_round,2026-07-23,TSM,Taiwan Semiconductor,Fabs the Sohu inference ASIC at the frontier node,high
Andreessen Horowitz,Etched,funding_round,2026-07-23,MU,Micron,HBM supplier for Etched's inference hardware ramp,medium
Andreessen Horowitz,Atoms,funding_round,2026-07-22,NVDA,NVIDIA,Physical-AI/industrial automation holdco built on GPU-trained models and edge robotics compute,low
Andreessen Horowitz,Hadrian,funding_round,2026-08-06,FANUY,FANUC,Robots and CNC controls are the core capital equipment of Hadrian's highly automated precision factories,medium
Andreessen Horowitz,Hadrian,funding_round,2026-08-06,SIEGY,Siemens,"Factory automation, CAM/PLM software and drives underpinning automated machining cells",low
Founders Fund,Hadrian,funding_round,2026-08-06,FANUY,FANUC,Robots and CNC controls are the core capital equipment of Hadrian's highly automated precision factories,medium
Founders Fund,Hadrian,funding_round,2026-08-06,SIEGY,Siemens,"Factory automation, CAM/PLM software and drives underpinning automated machining cells",low
Altimeter,Hadrian,funding_round,2026-08-06,FANUY,FANUC,Robots and CNC controls are the core capital equipment of Hadrian's highly automated precision factories,medium
Altimeter,Hadrian,funding_round,2026-08-06,SIEGY,Siemens,"Factory automation, CAM/PLM software and drives underpinning automated machining cells",low
BlackRock,Aligned Data Centers,acquisition,2026-07-21,VRT,Vertiv,Power/cooling supplier across 50+ campuses and >5GW operational-plus-planned as the platform scales,high
BlackRock,Aligned Data Centers,acquisition,2026-07-21,ETN,Eaton,Electrical distribution across Aligned's US and LatAm footprint,medium
BlackRock,Aligned Data Centers,acquisition,2026-07-21,GEV,GE Vernova,Generation and grid equipment for multi-GW capacity additions,medium
BlackRock,Aligned Data Centers,acquisition,2026-07-21,PWR,Quanta Services,Electrical/substation construction for the campus expansion programme,medium
BlackRock,Project Sopaipilla Holdings (Meta El Paso data center JV),project_finance,2026-07-28,VRT,Vertiv,Power and thermal systems for the 1GW El Paso campus the ~$14bn funds,high
BlackRock,Project Sopaipilla Holdings (Meta El Paso data center JV),project_finance,2026-07-28,ETN,Eaton,Electrical infrastructure for a 1GW compute campus online 2028,medium
BlackRock,Project Sopaipilla Holdings (Meta El Paso data center JV),project_finance,2026-07-28,GEV,GE Vernova,Generation and grid equipment for 1GW of new load,medium
BlackRock,Project Sopaipilla Holdings (Meta El Paso data center JV),project_finance,2026-07-28,NVDA,NVIDIA,Accelerators that fill the 1GW campus Meta leases,medium
BlackRock,Project Sopaipilla Holdings (Meta El Paso data center JV),project_finance,2026-07-28,JPM,JPMorgan Chase,Co-arranger of the ~$12.5bn Sopaipilla debt raise - fee income from the largest AI project-bond of the window,low
BlackRock,Summit Ridge Energy,acquisition,2026-07-14,FSLR,First Solar,US-made modules for a >3GW community/commercial solar pipeline with domestic-content economics,medium
BlackRock,Summit Ridge Energy,acquisition,2026-07-14,NXT,Nextracker,Trackers and mounting for the distributed-generation pipeline GIP is capitalizing,low
BlackRock,Summit Ridge Energy,acquisition,2026-07-14,FLNC,Fluence Energy,Storage systems paired with the solar-plus-storage portfolio being expanded,low
