source_url,source_tier,yielded
https://www.caproasia.com/2026/08/10/uk-air-defence-company-cambridge-aerospace-raised-300-million-in-series-c-funding-at-3-4-billion-valuation-founded-in-2024-by-steven-barrett-chris-sylvan-investors-include-dfj-growth-lux-accel/,3,1
https://www.bloomberg.com/news/articles/2026-08-10/anduril-backers-give-defense-startup-cambridge-aerospace-3-4-billion-valuation,3,1
https://pulse2.com/cambridge-aerospace-raises-300-million-series-c-at-3-4-billion-valuation-led-by-dfj-growth/,3,1
https://tech.eu/2026/08/10/cambridge-aerospaces-valuation-leaps-to-34bn-as-raised-300m/,3,1
https://www.businessweekly.co.uk/posts/cambridge-aerospace-hits-34-billion-valuation-with-300m-series-c-led-by-dfj-growth,3,1
https://aviationweek.com/defense/missile-defense-weapons/cambridge-aerospace-bolstered-300-million-investment,3,1
https://x.com/TradedVC/status/2086941855124492739,5,1
https://sifted.eu/articles/cambridge-aerospace-fundraise-valuation,3,0
https://www.finsmes.com/2026/08/cambridge-aerospace-raises-300m-in-series-c-funding.html,3,0
https://www.benzinga.com/markets/private-markets/26/08/61125256/cambridge-aerospace-more-than-doubles-its-valuation-to-3-4-billion-in-4-months,3,0
https://www.techtimes.com/articles/323764/20260810/cambridge-aerospace-raises-300m-skyhammer-factory-targeting-russias-drone-rate.htm,3,0
https://www.vestbee.com/insights/articles/cambridge-aerospace-raises-300-m,3,0
https://resiliencemedia.co/scoop-cambridge-aerospace-is-closing-in-on-300m-at-a-3-4b-valuation/,4,0
https://www.tectonicdefense.com/cambridge-aerospace-raises-300m-at-a-3-4b-valuation/,4,0
https://www.axios.com/pro/fintech-deals/2026/08/10/erebor-raise-8-billion-valuation,3,1
https://www.benzinga.com/markets/private-markets/26/08/61084718/palmer-luckey-backed-erebor-raises-stakes-in-race-to-become-techs-next-big-bank,3,1
https://techstartups.com/2026/08/10/palmer-luckeys-startup-bank-erebor-in-talks-to-raise-1-5-billion-at-8-billion-valuation/,3,1
https://mlq.ai/news/palmer-luckey-peter-thiel-and-joe-lonsdale-launch-erebor-bank-to-serve-crypto-and-tech-startups/,4,1
https://techfundingnews.com/palmer-luckey-and-joe-lonsdales-erebor-seeks-1-5b-at-8b-valuation-report/,3,1
https://x.com/WuBlockchain/status/2072660649067397521,5,1
https://www.retailbankerinternational.com/news/us-bank-erebor-funding-8bn-valuation/,3,0
https://efts.sec.gov/LATEST/search-index?q=%22Elad+Gil%22&forms=D,1,0
https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany,1,0
https://www.forbes.com/profile/elad-gil/,2,0
https://tracxn.com/d/corporate-investments/investments-by-elad-gil/__6EqeHeRAQP5m3qog1IzRFVDHDZh8at4E7RL9Coqp0mA,2,0
https://pitchbook.com/profiles/investor/106041-70,2,0
https://www.forbes.com/profile/peter-thiel/,2,0
https://tracxn.com/d/people/joe-lonsdale/__9JSZ3nAn9EmthAGuMgPnVIsnVfl9nQXr_9snVifoi70,2,0
https://tracxn.com/d/people/palmer-luckey/__KF_AQMc4Nf_n-4SFC_Y7p-eBOUZZuOE1m0wxSqnxPOY,2,0
https://tracxn.com/d/people/delian-asparouhov/__ugbjjclCx6iwAYvzRT3GbxwWXGlBUgP2SXJoqoe3EXA,2,0
https://tracxn.com/d/people/dylan-field/__yrBy8v-caSTOsnUm85tzD4HuJF1iqCQjpJxqDpgkiiw,2,0
https://tracxn.com/d/people/lucy-guo/__AqQv37SFSGC1wvz3zfpq6BtwNybPp5oIp_ZICRNLelI,2,0
https://tracxn.com/d/people/reid-hoffman/__JawDtFTQKWcxLf3HjCo6pWp889E6w-b2ZIV7LLzTWCA,2,0
https://tracxn.com/d/people/garry-tan/__I9DkLZLn8c86T6xWbeydp7ObaYpbtmE9h08Tmr7TnBw,2,0
https://tracxn.com/d/people/alexandr-wang/__hPqHRhNWnTbXod_q3osI0G_Koe3ATcwqwEea_SBl2zI,2,0
https://tracxn.com/d/people/eric-schmidt/__pZIWN8HmZXe3L0wHjpyVikPq6xYdCfJ4rPgYvzu5ino,2,0
https://techcrunch.com/2026/06/25/general-intuitions-2-3b-bet-that-video-games-can-train-ai-agents-for-the-real-world/,3,0
https://techcrunch.com/2026/07/09/paris-based-ai-voice-startup-gradium-raises-100m-seed-backed-by-nvidia/,3,0
https://techcrunch.com/2026/06/04/helion-the-sam-altman-backed-fusion-startup-raises-465m-to-build-a-power-plant-for-microsoft/,3,0
https://www.wealthiertoday.com/news/these-are-the-billionaire-investors-buying-ai-stocks-right-now/,2,0
https://finance.yahoo.com/markets/stocks/articles/thiel-macro-amazon-stock,3,0
