event_date,disclosed_date,allocator,allocator_class,target,target_type,sector,subsector,event_type,amount_usd,amount_estimated,status,source_tier,source_url,notes,capital_role,instrument,stage,round_total_usd,valuation_usd,co_investors
2026-08-03,2026-08-03,Sequoia,vc,Valar Atomics,private,nuclear,smr,funding_round,,0,verified,1,https://www.valaratomics.com/docs/Announcing-our-1B-Series-B-Led-By-Sequoia,"Sequoia partner Shaun Maguire joins board; Sequoia's own slice not disclosed, amount_usd left blank and full $1B round recorded in round_total_usd. Corroborated by Bloomberg and TechCrunch (2026-08-03). Also lined up a separate $200M credit facility (debt, not counted here).",lead,equity,series b,1000000000,6000000000,"Apandion; Atreides Management; Conviction; Dream Ventures; HOF Capital; Point72; Riot Ventures; Snowpoint Ventures; Valor Equity Partners"
2026-08-10,2026-08-10,Sequoia,vc,Corma,private,cybersecurity,agentic-security,funding_round,,0,verified,1,https://www.newswire.com/news/corma-the-first-frontier-defensive-cybersecurity-ai-lab-raises-60m-as-ai,"Company-issued press release (distributed via Newswire.com) confirms Sequoia led; Fortune's exclusive plus SecurityWeek/calcalistech/ynetnews corroborate lead/participant split. One row per allocator per CONTEXT.md rule 3 -- see companion Khosla/Coatue rows for same round.",lead,equity,seed,60000000,,"Khosla Ventures; Coatue"
2026-08-10,2026-08-10,Khosla Ventures,vc,Corma,private,cybersecurity,agentic-security,funding_round,,0,verified,1,https://www.newswire.com/news/corma-the-first-frontier-defensive-cybersecurity-ai-lab-raises-60m-as-ai,"Participant alongside lead Sequoia and co-investor Coatue in Corma's $60M seed. Vinod Khosla quoted in release on autonomous-cyberattack risk to critical infrastructure.",participant,equity,seed,60000000,,"Sequoia; Coatue"
2026-08-10,2026-08-10,Coatue,vc,Corma,private,cybersecurity,agentic-security,funding_round,,0,verified,1,https://www.newswire.com/news/corma-the-first-frontier-defensive-cybersecurity-ai-lab-raises-60m-as-ai,"Participant alongside lead Sequoia and co-investor Khosla Ventures in Corma's $60M seed.",participant,equity,seed,60000000,,"Sequoia; Khosla Ventures"
2026-08-07,2026-08-07,Coatue,vc,Firmus Technologies,private,neocloud,gpu-capacity,follow_on,,0,verified,1,https://firmus.co/newsroom/firmus-announces-fully-subscribed-usdusd2-billion-strategic-equity-investment-to-accelerate-nvidia-ai-factory-expansion-across-australia-and-asia-pacific,"Official Firmus newsroom PR. Coatue and Nvidia gave follow-on participation (both backed Firmus's prior US$505M round, April 2026); Blackstone Tactical Opportunities and Jane Street were the new money in this round. Funds Project Southgate AI-factory buildout across Australia/APAC. One day before the nominal 2026-08-08 window start -- included as clearly within the ~30-day lookback.",participant,equity,growth,2000000000,10500000000,"Nvidia; Blackstone Tactical Opportunities (and other Blackstone vehicles); Jane Street"
2026-08-13,2026-08-13,Coatue,vc,Databricks,private,ai-data,data-platform,follow_on,,0,verified,1,https://www.databricks.com/company/newsroom/press-releases/databricks-grows-80-yoy-surpasses-7b-revenue-run-rate-scales,"Official Databricks newsroom release for the $5B strategic round at $190B post-money (up from $134B in Dec 2025 Series L). Coatue led. Mirrored by Sixth Street's own investment-announcement page and Bloomberg/CNBC. Companion rows: Andreessen Horowitz and Thrive Capital, both existing investors participating in the same round -- one row per allocator per CONTEXT.md rule 3.",lead,equity,growth,5000000000,190000000000,"Blackstone; MGX; T. Rowe Price; Sixth Street Growth; Andreessen Horowitz; Thrive Capital; BOND; Clearlake Capital; Point72; Premji Invest; TPG; Fidelity; Franklin Templeton; GIC; Goldman Sachs Alternatives; Insight Partners; J.P. Morgan Private Capital; Kinetic; Morgan Stanley Investment Management; NEA; Ontario Teachers' Pension Plan; Temasek; WCM Investment Management"
2026-08-13,2026-08-13,Andreessen Horowitz,vc,Databricks,private,ai-data,data-platform,follow_on,,0,verified,1,https://www.databricks.com/company/newsroom/press-releases/databricks-grows-80-yoy-surpasses-7b-revenue-run-rate-scales,"Existing investor participating (not lead) in Databricks' $5B round at $190B valuation, per official Databricks newsroom release. Companion rows: Coatue (lead) and Thrive Capital.",participant,equity,growth,5000000000,190000000000,"Coatue; Blackstone; MGX; Thrive Capital; and others (see Coatue row)"
2026-08-13,2026-08-13,Thrive Capital,vc,Databricks,private,ai-data,data-platform,follow_on,,0,verified,1,https://www.databricks.com/company/newsroom/press-releases/databricks-grows-80-yoy-surpasses-7b-revenue-run-rate-scales,"Existing investor participating (not lead) in Databricks' $5B round at $190B valuation, per official Databricks newsroom release. Only event found this run for Thrive Capital itself (distinct from its portfolio company Thrive Holdings, filed separately under Altimeter's row).",participant,equity,growth,5000000000,190000000000,"Coatue; Blackstone; MGX; Andreessen Horowitz; and others (see Coatue row)"
2026-08-28,2026-08-28,Andreessen Horowitz,vc,Machine Age Fund,fund,ai-compute,ai-hardware-infrastructure,fund_launch,1100000000,0,verified,1,https://a16z.com/the-machine-age-fund/,"a16z's first fund dedicated solely to the physical layer of AI -- semiconductors/memory, networking, storage, data centers, robotics and consumer AI hardware -- spanning several canonical sectors at once (ai-compute/semiconductors/datacenters/robotics/networking); filed under ai-compute as the closest single bucket. Widely corroborated (TechCrunch, Yahoo Finance, CryptoRank, Digg) same-day.",,equity,,1100000000,,
2026-08-31,2026-08-31,Andreessen Horowitz,vc,Andreessen Horowitz Growth Fund V,fund,ai-applications,growth-stage-generalist,follow_on,1750000000,0,verified,3,https://techcrunch.com/2026/08/31/a16z-brings-growth-fund-to-8-5b-days-after-launching-new-1-1b-fund/,"Growth Fund V expanded from $6.75B (Jan 2026 launch, out of window) to $8.5B total; amount_usd here is the $1.75B increment raised in this expansion, not the full fund size, to avoid double-counting the January close. Generalist late-stage vehicle (has backed Databricks, OpenAI, SpaceX per the announcement) -- sector tagged ai-applications as closest fit, not literal. Official confirmation is an a16z blog post by David George and Raghu Raghuram; citing TechCrunch's report of it since that is the article actually read.",,equity,growth,,8500000000,
