allocator,target,event_type,disclosed_date,ticker,company,rationale,confidence
Coatue,Firmus,follow_on,2026-08-07,NVDA,NVIDIA,"Firmus's $2B round funds Project Southgate's Melbourne AI Factory expansion, which deploys ~18,400 NVIDIA GB300 GPUs and is co-designed to NVIDIA's DSX reference architecture (Firmus's own Hypercube cooling/power system built specifically around it) - direct silicon/platform supplier to the capacity being built.",high
Khosla Ventures,Mariana Minerals,funding_round,2026-08-03,SAND.ST,Sandvik AB,"Sandvik partnered directly with Mariana Minerals to deploy its AutoMine Surface Drilling autonomous platform, integrated into MarianaOS at the Copper One mine - a named equipment/technology supplier to the funded buildout.",high
Andreessen Horowitz,Mariana Minerals,follow_on,2026-08-03,SAND.ST,Sandvik AB,"Same Series B proceeds fund the Copper One autonomous mine where Sandvik's AutoMine Surface Drilling platform is directly integrated into MarianaOS - named equipment/technology supplier.",high
Jeff Bezos,Blue Origin,equity,2026-07-08,PTCIL.NS,PTC Industries (Aerolloy Technologies),"Aerolloy Technologies (PTC Industries' wholly-owned subsidiary) won a development-and-supply order for large superalloy investment castings (LOX system housings/manifolds) for New Glenn's BE-4 engines - a direct named hardware supplier that benefits as Blue Origin scales production with fresh capital.",medium
Jeff Bezos,Blue Origin,equity,2026-07-08,GE,GE Aerospace,"Unison Industries, a wholly-owned GE Aerospace subsidiary, holds a long-term agreement to design, manufacture and support ignition systems for the BE-4/BE-7/BE-3U engine family used on New Glenn - a direct supplier, though the contract predates this raise and GE Aerospace is a large diversified aerospace company so this is one small piece of revenue.",low
US Government,Sunrise Energy Metals,project_finance,2026-08-07,SRL.AX,Sunrise Energy Metals Limited,"Sunrise Energy Metals is itself the direct recipient of the $400M DoW Office of Strategic Capital conditional loan for its Syerston scandium project, and it is a public, tradeable company - the market reacted directly (shares jumped on the announcement).",high
US Government,Sunrise Energy Metals,project_finance,2026-08-07,LMT,Lockheed Martin,"Lockheed Martin holds an option to purchase up to 25% of Syerston's annual scandium output over five years; the DoW loan de-risks the project that secures this offtake for Lockheed's own aerospace/defense alloy supply chain - an indirect, second-order beneficiary via guaranteed non-China scandium supply.",low
US Government,Sila Nanotechnologies,project_finance,2026-08-07,6752.T,Panasonic Holdings,"Panasonic Energy has a supply agreement to procure Sila's Titan Silicon anode material from the same Moses Lake, WA plant this DoW loan helps expand - a direct offtake customer that benefits from de-risked domestic capacity.",medium
US Government,Sila Nanotechnologies,project_finance,2026-08-07,MBG.DE,Mercedes-Benz Group,"Mercedes-Benz was the first automaker to sign a supply agreement for Sila's silicon-anode chemistry (planned for the electric G-Class); it benefits from the expanded, government-backed domestic manufacturing capacity this loan funds.",medium
US Government,Niron Magnetics,project_finance,2026-08-07,MGA,Magna International,"Magna is a named commercial partner/investor already sampling Niron's rare-earth-free magnets; the conditional DoW loan accelerates the Minnesota plant Magna would source from, reducing its exposure to China-controlled rare-earth magnet supply - though Magna is also an investor in Niron, so the beneficiary read is partly circular.",low
Mubadala,Moove,funding_round,2026-08-05,GOOGL,Alphabet,"Moove is already Waymo's third-party fleet operator running robotaxis in Phoenix and Miami (soon London); the new capital scales Moove's robotics-first 'Nests' depot infrastructure that charges/services/orchestrates those fleets, lowering Waymo's (Alphabet's) marginal cost of robotaxi expansion - an indirect platform-owner read, not a direct supplier link.",low
