source_url,source_tier,yielded
https://www.sec.gov/Archives/edgar/data/2148181/000214818126000001/xslFormDX01/primary_doc.xml,1,1
https://www.sec.gov/Archives/edgar/data/1045810/000104581026000062/xslSCHEDULE_13G_X01/primary_doc.xml,1,1
https://www.sec.gov/Archives/edgar/data/2137708/000213770826000003/primary_doc.xml,1,1
https://www.sec.gov/Archives/edgar/data/2107841/000110465926084291/primary_doc.xml,1,1
https://www.sec.gov/Archives/edgar/data/2107847/000110465926084290/primary_doc.xml,1,1
https://www.sec.gov/Archives/edgar/data/2107845/000110465926084286/primary_doc.xml,1,1
https://www.sec.gov/Archives/edgar/data/2143818/000214381826000001/primary_doc.xml,1,1
https://www.sec.gov/Archives/edgar/data/2143819/000214381926000001/primary_doc.xml,1,1
https://www.sec.gov/Archives/edgar/data/2141341/000184073526000020/primary_doc.xml,1,1
https://www.sec.gov/Archives/edgar/data/2141340/000214134026000002/primary_doc.xml,1,1
https://www.sec.gov/Archives/edgar/data/2139124/000213912426000001/primary_doc.xml,1,1
https://www.sec.gov/Archives/edgar/data/2141877/000214187726000001/primary_doc.xml,1,1
https://www.sec.gov/Archives/edgar/data/1937926/000117184326005272/exh_991.htm,1,1
https://www.sec.gov/Archives/edgar/data/1083301/000108330126000162/a_wulfearningsreleaseq22026.htm,1,1
https://volta.com/news/volta-launches-the-utility-of-compute/,1,1
https://group.softbank/en/news/press/20251008,1,1
https://new.abb.com/news/detail/129685,1,1
https://data.sec.gov/submissions/CIK0001045810.json,1,0
https://data.sec.gov/submissions/CIK0001587468.json,1,0
https://data.sec.gov/submissions/CIK0001393818.json,1,0
https://data.sec.gov/submissions/CIK0001404912.json,1,0
https://data.sec.gov/submissions/CIK0001823945.json,1,0
https://data.sec.gov/submissions/CIK0002107488.json,1,0
https://data.sec.gov/submissions/CIK0002074230.json,1,0
https://data.sec.gov/submissions/CIK0002074231.json,1,0
https://data.sec.gov/submissions/CIK0002097668.json,1,0
https://data.sec.gov/submissions/CIK0002074203.json,1,0
https://data.sec.gov/submissions/CIK0001863211.json,1,0
https://data.sec.gov/submissions/CIK0002109620.json,1,0
https://data.sec.gov/submissions/CIK0002091400.json,1,0
https://www.sec.gov/Archives/edgar/data/2074230/000207423025000001/primary_doc.xml,1,0
https://www.sec.gov/Archives/edgar/data/2074231/000207423125000001/primary_doc.xml,1,0
https://www.sec.gov/Archives/edgar/data/2097668/000209766825000001/primary_doc.xml,1,0
https://www.sec.gov/Archives/edgar/data/2144217/000214421726000001/primary_doc.xml,1,0
https://www.sec.gov/Archives/edgar/data/1885926/000188592626000002/primary_doc.xml,1,0
https://www.sec.gov/Archives/edgar/data/1930054/000193005426000011/primary_doc.xml,1,0
https://www.sec.gov/Archives/edgar/data/2146067/000214606726000001/primary_doc.xml,1,0
https://www.sec.gov/Archives/edgar/data/2144977/000095010326010647/primary_doc.xml,1,0
https://www.sec.gov/Archives/edgar/data/2044519/000110465926081854/tm2620073d1_424b3.htm,1,0
https://www.sec.gov/Archives/edgar/data/1662972/000119312526315159/d171851d8k.htm,1,0
https://www.sec.gov/Archives/edgar/data/1823945/000182394526000036/owl-20260730.htm,1,0
https://www.sec.gov/Archives/edgar/data/2106200/000199937126015414/primary_doc.xml,1,0
https://efts.sec.gov/LATEST/search-index?q=%22Cathedral%22&forms=D,1,0
https://efts.sec.gov/LATEST/search-index?q=%22Databricks%22&forms=D,1,0
https://efts.sec.gov/LATEST/search-index?q=%22Thrive+Holdings%22,1,0
https://efts.sec.gov/LATEST/search-index?q=%22P-1+AI%22,1,0
https://efts.sec.gov/LATEST/search-index?q=%22Prentis%22&forms=D,1,0
