event_date,disclosed_date,allocator,allocator_class,target,target_type,sector,subsector,event_type,amount_usd,amount_estimated,status,source_tier,source_url,notes,theme,capital_role,instrument,stage,round_total_usd,ownership_pct,valuation_usd,co_investors,origin_id
2026-08-13,2026-08-13,MGX,sovereign,Databricks,private,ai-data,data-platform,funding_round,,0,verified,1,https://www.databricks.com/company/newsroom/press-releases/databricks-grows-80-yoy-surpasses-7b-revenue-run-rate-scales,"MGX named as an investor in Databricks' official newsroom release for the round; Coatue named lead, some press (The National) called MGX a co-lead. MGX's individual slice of the $5B not disclosed.",,participant,equity,growth,5000000000,,190000000000,"Coatue (lead), Blackstone, T. Rowe Price, Sixth Street Growth, BOND, Clearlake Capital, Point72, Premji Invest, TPG, Andreessen Horowitz, Dragoneer, Fidelity, Franklin Templeton, GIC, Goldman Sachs Alternatives, Insight Partners, J.P. Morgan Private Capital, Kinetic, Morgan Stanley IM, NEA, Ontario Teachers', Temasek, Thrive Capital, WCM Investment Management",
2026-07-21,2026-07-21,MGX,sovereign,Aligned Data Centers,private,datacenters,hyperscale-campus,follow_on,,0,verified,1,https://aligneddc.com/press-release/aip-mgx-and-blackrocks-gip-close-acquisition-of-aligned-data-centers/,"Additional $5B growth-capital commitment by the AIP/MGX/BlackRock GIP consortium immediately after closing their $40B acquisition of Aligned (enterprise value); MGX's individual slice of the $5B not disclosed separately from GIP/AIP.",ai_infrastructure,participant,equity,growth,5000000000,,,"BlackRock Global Infrastructure Partners (GIP), AI Infrastructure Partnership (AIP)",
2026-08-04,2026-08-04,Saudi PIF,sovereign,Electronic Arts,private,diversified-pe,,acquisition,,0,verified,1,https://www.ea.com/news/ea-announces-completion-of-acquisition,"Consortium buyout closed 2026-08-04 (originally announced 2025-09-29, shareholder vote 2025-12-22). Total equity commitment ~$36B (PIF cash + roll-over of its existing EA stake) plus $20B debt fully committed by JPMorgan; PIF holds 93.4% of the now-private EA vs 5.5% Silver Lake / 1.1% Affinity Partners. PIF's own cash slice within the $36B not separately disclosed, so amount_usd left blank rather than estimated from the ownership split.",,lead,equity,buyout,36000000000,93.4,55000000000,"Silver Lake, Affinity Partners",https://www.businesswire.com/news/home/20250929186526/en/EA-Announces-Agreement-to-be-Acquired-by-PIF-Silver-Lake-and-Affinity-Partners-for-%2455-Billion
2026-08-05,2026-08-05,Mubadala,sovereign,Moove,private,robotics,autonomous-mobility,funding_round,,0,verified,1,https://www.mubadala.com/en/news/moove-raises-250-million-at-2-1-billion-valuation-to-scale-the-global-infrastructure-layer-for-autonomous-mobility,"Mubadala led the Series C; co-leads Woven Capital (Toyota) and Ion Pacific. Mubadala's individual slice of the $250M not disclosed. Proceeds fund expansion into autonomous/self-driving fleet infrastructure (incl. Waymo partnership).",robotics_embodiment,lead,equity,series c,250000000,,2100000000,"Woven Capital, Ion Pacific, BlueCrest Capital Management, Sona Capital, The Raptor Group; existing: BlackRock, MUFG, Franklin Templeton, Uber, Left Lane, Silverbacks Holdings, Ontario Power Generation Pension Plan",
2026-07-29,2026-07-29,US Government,sovereign,GlobalFoundries,public,semiconductors,advanced-packaging,equity,300000000,0,verified,1,https://www.nist.gov/news-events/news/2026/07/department-commerce-announces-letters-intent-7-companies-874-million,"Letter of intent (not yet a finalized award) for CHIPS Act R&D funding to accelerate co-packaged optics for AI processors; Commerce/NIST takes a minority, non-voting equity stake as a funding condition. One of 7 companies in a coordinated $874M CHIPS batch (Aeluma, Extropic, GlobalFoundries, Kepler, Multibeam, OBSIDIA Semiconductors, Thintronics) all disclosed together.",ai_infrastructure,sole,equity,,,,,,
2026-07-29,2026-07-29,US Government,sovereign,Kepler,private,semiconductors,custom-silicon,equity,245000000,0,verified,1,https://www.nist.gov/news-events/news/2026/07/department-commerce-announces-letters-intent-7-companies-874-million,"LOI for CHIPS Act R&D funding to develop advanced AI memory (3D / ferroelectric technology); Commerce takes minority non-voting equity stake. Part of the same $874M/7-company batch as GlobalFoundries etc.",ai_infrastructure,sole,equity,,,,,,
2026-07-29,2026-07-29,US Government,sovereign,Multibeam Corporation,private,semiconductors,advanced-packaging,equity,140000000,0,verified,1,https://www.nist.gov/news-events/news/2026/07/department-commerce-announces-letters-intent-7-companies-874-million,"LOI for CHIPS Act R&D funding for advanced chip-stacking/packaging technology; Commerce takes minority non-voting equity stake. Part of the same $874M/7-company batch.",ai_infrastructure,sole,equity,,,,,,
2026-07-29,2026-07-29,US Government,sovereign,Aeluma Inc.,public,networking,,equity,30000000,0,verified,1,https://www.sec.gov/Archives/edgar/data/0001828805/000121390026083005/ea029978601ex99-1.htm,"LOI for CHIPS Act R&D funding for indium-phosphide-free photonic substrates for AI interconnects (photodetectors/lasers); Commerce takes minority non-voting equity stake. Disclosed by Aeluma itself in an 8-K exhibit. Part of the same $874M/7-company batch.",ai_infrastructure,sole,equity,,,,,,
2026-07-29,2026-07-29,US Government,sovereign,Extropic,private,ai-compute,,equity,75000000,0,verified,1,https://www.nist.gov/news-events/news/2026/07/department-commerce-announces-letters-intent-7-companies-874-million,"LOI for CHIPS Act R&D funding for thermodynamic sampling units (probabilistic compute hardware for simulation/optimization/AI); Commerce takes minority non-voting equity stake. Part of the same $874M/7-company batch.",ai_infrastructure,sole,equity,,,,,,
2026-07-29,2026-07-29,US Government,sovereign,Thintronics,private,semiconductors,advanced-packaging,equity,50000000,0,verified,1,https://www.nist.gov/news-events/news/2026/07/department-commerce-announces-letters-intent-7-companies-874-million,"LOI for CHIPS Act R&D funding for ultra-low-loss inter-layer dielectrics for next-gen interconnects/advanced packaging; Commerce takes minority non-voting equity stake. Part of the same $874M/7-company batch.",ai_infrastructure,sole,equity,,,,,,
2026-07-29,2026-07-29,US Government,sovereign,OBSIDIA Semiconductors,private,cybersecurity,infrastructure-security,equity,34000000,0,verified,1,https://www.nist.gov/news-events/news/2026/07/department-commerce-announces-letters-intent-7-companies-874-million,"LOI for CHIPS Act R&D funding for non-invasive counterfeit/malicious-component detection to secure the AI hardware supply chain; Commerce takes minority non-voting equity stake. Part of the same $874M/7-company batch.",cyber_security,sole,equity,,,,,,
2026-08-07,2026-08-07,US Government,sovereign,Sila Nanotechnologies,private,defense-tech,critical-materials,project_finance,1400000000,0,verified,1,https://www.war.gov/News/Releases/Release/Article/4566579/the-office-of-strategic-capital-signs-14-billion-conditional-loan-commitment-wi/,"Conditional loan commitment via DoD/Dept of War Office of Strategic Capital (OSC) to expand silicon-carbon anode manufacturing at Moses Lake, WA and build a new lithium-ion cell facility. Part of a coordinated $2.03B OSC package (Sila, Niron Magnetics, Sunrise Energy Metals, Strategic Bauxite USA) to secure battery/critical-minerals supply chains, announced 2026-08-07.",defense_ai,sole,debt,,,,,,
2026-08-07,2026-08-07,US Government,sovereign,Niron Magnetics,private,defense-tech,critical-materials,project_finance,150000000,0,verified,1,https://www.war.gov/News/Releases/Release/Article/4566567/office-of-strategic-capital-signs-150-million-conditional-loan-commitment-with/,"Conditional loan commitment via DoD/Dept of War OSC to scale domestic rare-earth-free permanent magnet production. Part of the same 2026-08-07 $2.03B critical-minerals OSC package.",defense_ai,sole,debt,,,,,,
2026-08-07,2026-08-07,US Government,sovereign,Sunrise Energy Metals,public,defense-tech,critical-materials,project_finance,400000000,0,verified,1,https://www.war.gov/News/Releases/Release/Article/4566598/office-of-strategic-capital-signs-400-million-conditional-loan-commitment-with/,"Conditional loan commitment via DoD/Dept of War OSC to expand scandium mining/processing operations (ASX-listed, Australia-based). Part of the same 2026-08-07 $2.03B critical-minerals OSC package.",defense_ai,sole,debt,,,,,,
2026-08-07,2026-08-07,US Government,sovereign,Strategic Bauxite USA,private,defense-tech,critical-materials,equity,85500000,0,verified,1,https://www.war.gov/News/Releases/Release/Article/4566604/department-of-war-announces-an-855-million-agreement-with-strategic-bauxite-usa/,"Equity investment agreement via DoD/Dept of War OSC to build a secure US refractory-grade bauxite supply chain. Part of the same 2026-08-07 $2.03B critical-minerals OSC package.",defense_ai,sole,equity,,,,,,
