allocator,target,event_type,disclosed_date,ticker,company,rationale,confidence
NVIDIA,MediaTek,corporate_investment,2026-08-31,2454.TW,MediaTek Inc.,"Direct capital recipient -- NVIDIA subscribed $3.5B of MediaTek's $3.9B convertible bond, funding deeper NVLink Fusion/NVHBM co-development for edge-to-cloud AI silicon.",high
NVIDIA,MediaTek,corporate_investment,2026-08-31,TSM,Taiwan Semiconductor Manufacturing,"MediaTek's expanded AI-silicon roadmap funded by this bond is fabricated at TSMC's leading-edge nodes, adding incremental advanced-node volume.",low
NVIDIA,SB Energy,corporate_investment,2026-08-17,9984.T,SoftBank Group Corp.,"SoftBank is majority owner and co-anchor of SB Energy alongside NVIDIA and OpenAI; NVIDIA's $1.5B investment plus up to $105B in residual-value guaranties directly capitalizes and de-risks SoftBank's platform.",high
NVIDIA,SB Energy,corporate_investment,2026-08-17,GEV,GE Vernova,"Power-generation and grid equipment demand from the PORTS-Pike Technology Campus buildout (targeting up to 8GW).",low
NVIDIA,SB Energy,corporate_investment,2026-08-17,VRT,Vertiv Holdings,"Data-center power and cooling infrastructure demand from the multi-GW PORTS-Pike campus buildout.",low
Sequoia,Valar Atomics,funding_round,2026-08-03,OKLO,Oklo Inc.,"Sequoia's $1B lead validates the advanced-nuclear/SMR investment thesis broadly, a sentiment tailwind for listed SMR developers.",low
Sequoia,Valar Atomics,funding_round,2026-08-03,CCJ,Cameco Corporation,"A $1B raise into a new SMR entrant signals accelerating nuclear-for-AI capacity buildout, a demand tailwind for uranium fuel suppliers.",low
Coatue,Firmus Technologies,follow_on,2026-08-07,NVDA,NVIDIA Corporation,"Firmus's $2B raise funds a large NVIDIA 'AI factory' GPU deployment across Australia/APAC (Project Southgate) -- direct GPU hardware demand.",high
US Government,Trilogy Metals Inc,minority_stake,2026-08-28,TMQ,Trilogy Metals Inc.,"Trilogy Metals is itself the direct recipient of the Department of War's $35.6M strategic equity investment (~10% stake), funding the Upper Kobuk critical-minerals project.",high
Saudi PIF,AWS HUMAIN AI Zone,project_finance,2026-09-02,AMZN,Amazon.com Inc.,"AWS is the direct co-investor and infrastructure operator in the joint $5B+ 'AI Zone' commitment with PIF's HUMAIN vehicle in Saudi Arabia.",high
Saudi PIF,AWS HUMAIN AI Zone,project_finance,2026-09-02,NVDA,NVIDIA Corporation,"The AI Zone's compute capacity runs on NVIDIA GPUs alongside AWS Trainium -- direct hardware demand from the buildout.",medium
BlackRock,El Paso AI Data Center Venture (with Meta),acquisition,2026-07-28,META,Meta Platforms Inc.,"Meta retains 20% of the JV and gains dedicated AI training/inference capacity at the El Paso campus, funded predominantly by BlackRock-managed capital.",high
BlackRock,El Paso AI Data Center Venture (with Meta),acquisition,2026-07-28,VRT,Vertiv Holdings,"Power and cooling infrastructure demand from the ~$14B El Paso AI data center buildout.",low
Blue Owl,IREN Limited,project_finance,2026-08-28,IREN,IREN Limited,"IREN is the direct financing recipient -- $2.4B in Blue Owl-led debt funds its purchase of NVIDIA Blackwell Ultra GPUs for its Mackenzie, BC campus.",high
Blue Owl,IREN Limited,project_finance,2026-08-28,NVDA,NVIDIA Corporation,"Direct GPU hardware sale -- the $2.4B financing package funds IREN's purchase of NVIDIA Blackwell Ultra GPUs.",high
Peter Thiel,Etched,funding_round,2026-08-18,TSM,Taiwan Semiconductor Manufacturing,"Etched's Sohu inference-ASIC ramp, funded by this $700M Series D, is fabricated at TSMC's advanced nodes.",low
Jeff Bezos,CuspAI,funding_round,2026-07-20,NVDA,NVIDIA Corporation,"CuspAI's AI-for-materials-discovery platform partners directly with NVIDIA to search for chipmaking materials, a strategic co-investor in this round.",medium
Jeff Bezos,CuspAI,funding_round,2026-07-20,AMD,Advanced Micro Devices Inc.,"AMD is also a named strategic co-investor and partner in CuspAI's AI-driven chip-materials discovery platform.",medium
