event_date,disclosed_date,allocator,allocator_class,target,target_type,sector,subsector,event_type,amount_usd,amount_estimated,status,source_tier,source_url,origin_id,theme,capital_role,instrument,stage,round_total_usd,ownership_pct,valuation_usd,co_investors,notes
2026-08-10,2026-08-10,Sequoia,vc,Corma,private,cybersecurity,agentic-security,funding_round,60000000,0,verified,1,https://www.newswire.com/news/corma-the-first-frontier-defensive-cybersecurity-ai-lab-raises-60m-as-ai,https://www.newswire.com/news/corma-the-first-frontier-defensive-cybersecurity-ai-lab-raises-60m-as-ai,cyber_security,lead,equity,seed,60000000,,,"Khosla Ventures; Coatue","LEAD. Tel Aviv/SF startup building a foundation model purpose-built for defensive cybersecurity (vs. general-purpose LLMs used offensively); early Fortune 100/500 deployments cut threat-response time >94%. THREE watchlist VCs in one seed round (Sequoia, Khosla, Coatue). amount_usd = FULL round; Sequoia's slice undisclosed. Corroborated by Fortune, TechCrunch-style outlets (Calcalist, Ynet, TheNextWeb, TechTimes, citybiz, BigGo)"
2026-08-10,2026-08-10,Khosla Ventures,vc,Corma,private,cybersecurity,agentic-security,funding_round,60000000,0,verified,1,https://www.newswire.com/news/corma-the-first-frontier-defensive-cybersecurity-ai-lab-raises-60m-as-ai,https://www.newswire.com/news/corma-the-first-frontier-defensive-cybersecurity-ai-lab-raises-60m-as-ai,cyber_security,participant,equity,seed,60000000,,,"Sequoia (lead); Coatue","PARTICIPANT alongside Sequoia (lead) and Coatue. Same round as above - see that row's notes. amount_usd = FULL round; Khosla's slice undisclosed"
2026-08-10,2026-08-10,Coatue,vc,Corma,private,cybersecurity,agentic-security,funding_round,60000000,0,verified,1,https://www.newswire.com/news/corma-the-first-frontier-defensive-cybersecurity-ai-lab-raises-60m-as-ai,https://www.newswire.com/news/corma-the-first-frontier-defensive-cybersecurity-ai-lab-raises-60m-as-ai,cyber_security,participant,equity,seed,60000000,,,"Sequoia (lead); Khosla Ventures","PARTICIPANT alongside Sequoia (lead) and Khosla. Same round as above - see that row's notes. amount_usd = FULL round; Coatue's slice undisclosed"
2026-08-12,2026-08-12,Sequoia,vc,Form Energy,private,power-energy,grid-storage,funding_round,750000000,0,verified,1,https://formenergy.com/form-energy-secures-750m-in-series-g-financing/,https://formenergy.com/form-energy-secures-750m-in-series-g-financing/,energy_for_ai,participant,equity,series g,750000000,,,"T. Rowe Price (lead); Coatue; Janus Henderson; Franklin Templeton; PEAK6 Investments; Breakthrough Energy Ventures; GE Vernova; TPG Rise Climate","NEW investor. T. Rowe Price led; iron-air 100-hour batteries for grid/AI-datacenter load (30 GWh Google commitment, 12 GWh Crusoe). Total equity raised now >$2B. amount_usd = FULL round; Sequoia's slice undisclosed. Corroborated by TechCrunch, Bloomberg-adjacent (DCD, ESG Today, FinSMEs, Yahoo Finance)"
2026-08-12,2026-08-12,Coatue,vc,Form Energy,private,power-energy,grid-storage,follow_on,750000000,0,verified,1,https://formenergy.com/form-energy-secures-750m-in-series-g-financing/,https://formenergy.com/form-energy-secures-750m-in-series-g-financing/,energy_for_ai,participant,equity,series g,750000000,,,"T. Rowe Price (lead); Sequoia; Janus Henderson; Franklin Templeton; PEAK6 Investments; Breakthrough Energy Ventures; GE Vernova; TPG Rise Climate","EXISTING investor continuing (follow_on) per company PR's 'continued support' list. amount_usd = FULL round; Coatue's slice undisclosed"
2026-08-13,2026-08-13,Coatue,vc,Databricks,private,ai-data,data-platform,funding_round,5000000000,0,verified,1,https://www.databricks.com/company/newsroom/press-releases/databricks-grows-80-yoy-surpasses-7b-revenue-run-rate-scales,https://www.databricks.com/company/newsroom/press-releases/databricks-raising-strategic-round-funding-188-billion-valuation,ai_applications,lead,equity,growth,5000000000,,190000000000,"Blackstone; MGX; T. Rowe Price; Sixth Street Growth; BOND; Clearlake Capital; Point72; Premji Invest; TPG; Andreessen Horowitz (existing); Goldman Sachs Alternatives (existing); Thrive Capital (existing); Dragoneer (existing)","UPGRADE of the W32 candidate (2026-07-16 term sheet at $3B/$188B) - the round actually CLOSED 2026-08-13, upsized to $5B at a $190B valuation after ~$15B of investor demand materialized on ~$1B originally sought. Coatue framed as lead alongside Blackstone/MGX/T. Rowe Price. amount_usd = FULL round; Coatue's slice undisclosed. Corroborated by Bloomberg, CNBC, TechCrunch, Yahoo Finance, PYMNTS, Seeking Alpha, techstartups roundup"
2026-08-13,2026-08-13,Andreessen Horowitz,vc,Databricks,private,ai-data,data-platform,follow_on,5000000000,0,verified,1,https://www.databricks.com/company/newsroom/press-releases/databricks-grows-80-yoy-surpasses-7b-revenue-run-rate-scales,https://www.databricks.com/company/newsroom/press-releases/databricks-raising-strategic-round-funding-188-billion-valuation,ai_applications,participant,equity,growth,5000000000,,190000000000,"Coatue (lead); Blackstone; MGX; T. Rowe Price; Sixth Street Growth; Thrive Capital (existing); Goldman Sachs Alternatives (existing)","EXISTING investor re-upping (follow_on) per press coverage of the syndicate. amount_usd = FULL round; a16z's slice undisclosed"
2026-08-13,2026-08-13,Thrive Capital,vc,Databricks,private,ai-data,data-platform,follow_on,5000000000,0,verified,1,https://www.databricks.com/company/newsroom/press-releases/databricks-grows-80-yoy-surpasses-7b-revenue-run-rate-scales,https://www.databricks.com/company/newsroom/press-releases/databricks-raising-strategic-round-funding-188-billion-valuation,ai_applications,participant,equity,growth,5000000000,,190000000000,"Coatue (lead); Blackstone; MGX; T. Rowe Price; Sixth Street Growth; Andreessen Horowitz (existing); Goldman Sachs Alternatives (existing)","EXISTING investor re-upping (follow_on) per press coverage of the syndicate. amount_usd = FULL round; Thrive's slice undisclosed"
2026-08-13,2026-08-13,Andreessen Horowitz,vc,Vals AI,private,ai-applications,ai-model-evaluation,funding_round,40000000,0,verified,1,https://www.vals.ai/blogs/series-a,https://www.vals.ai/blogs/series-a,ai_applications,lead,equity,series a,40000000,,400000000,"8VC (existing); Pear VC (existing); Bloomberg (existing); Hudson River Trading; NextLadder Ventures","LEAD. Independent AI-model evaluation/benchmarking firm; results cited in OpenAI/Anthropic/Google/Meta/xAI model cards. Revenue up 8x YoY, team tripled in 6 months. amount_usd = FULL round. Corroborated by Wilson Sonsini deal alert, TechFundingNews, Crypto Briefing, KuCoin, TechTimes, Techmeme"
2026-08-12,2026-08-12,Altimeter,vc,Thrive Holdings,private,ai-applications,ai-services-rollup,minority_stake,2000000000,0,verified,1,https://www.thriveholdings.com/thrive-holdings-fundraise,https://www.theinformation.com/articles/softbank-altimeter-d1-invest-thrive-holdings-2-billion-financing,ai_applications,participant,equity,growth,2000000000,,12000000000,"SoftBank Group (lead); D1 Capital Partners; OpenAI (existing strategic stake, non-cash)","UPGRADE of the W32 candidate (single-origin The Information report, 2026-07-06, 'raising'). Deal has now CLOSED per Thrive Holdings' own press release (2026-08-12): $2B at a $12B valuation, first time outside capital has backed the Thrive-Capital-spun-out AI roll-up of accounting/IT service firms; SoftBank led. amount_usd = FULL round, now amount_estimated=0 since a Tier-1 company source confirms the total; Altimeter's individual slice still undisclosed"
